has_gps_data,registration_number,horse_name,pp_track,pp_race_date,pp_race_number,pp_country,race_type,grade,distance_id,about_distance_indicator,distance,surface,post_position,position_at_point_of_call_1,position_at_point_of_call_2,position_at_point_of_call_3,position_at_point_of_call_4,position_at_point_of_call_5,official_position,length_behind_at_poc_1,length_behind_at_poc_2,length_behind_at_poc_3,length_behind_at_poc_4,length_behind_at_poc_5,length_behind_at_finish,length_ahead_at_poc_1,length_ahead_at_poc_2,length_ahead_at_poc_3,length_ahead_at_poc_4,length_ahead_at_poc_5,length_ahead_at_finish,post_time_odds,field_size,purse,pp_id
X,23014784,Finny,LRL,2025-12-13,4,USA,MCL, ,8.0, ,1M,D,5,1,1,1,0,1,3,0,0,0,0,0,400,200,150,100,0,10,300,32,6,30450,23014784_LRL_2025-12-13_4
 ,22002704,Firmantown,DEL,2025-06-14,3,USA,SOC, ,5.5, ,5 1/2F,D,4,1,1,0,0,2,7,0,0,0,0,10,455,50,10,0,0,10,0,15,7,37500,22002704_DEL_2025-06-14_3
X,22002704,Firmantown,LRL,2025-10-19,1,USA,CLM, ,5.5, ,5 1/2F,T,3,1,1,0,0,1,2,0,0,0,0,0,25,50,10,0,0,200,325,61,9,41500,22002704_LRL_2025-10-19_1
X,22002704,Firmantown,LRL,2025-11-28,7,USA,ALW, ,6.0, ,6F,D,6,2,5,0,0,7,6,350,460,0,0,720,1105,100,10,0,0,400,125,325,9,54910,22002704_LRL_2025-11-28_7
X,22002704,Firmantown,LRL,2026-01-16,9,USA,ALW, ,5.5, ,5 1/2F,D,4,6,6,0,0,7,8,950,660,0,0,710,1210,50,250,0,0,200,0,548,8,54410,22002704_LRL_2026-01-16_9
 ,19016165,First Glimpse,DEL,2025-09-25,3,USA,CLM, ,8.32, ,1M 70Y,D,7,2,2,3,0,4,2,50,50,110,0,110,25,100,150,50,0,400,25,29,7,30000,19016165_DEL_2025-09-25_3
 ,19016165,First Glimpse,PRX,2025-10-15,9,USA,CLM, ,8.0, ,1M,D,4,3,3,5,0,5,5,60,100,400,0,310,880,50,10,300,0,250,275,74,6,35000,19016165_PRX_2025-10-15_9
X,19016165,First Glimpse,LRL,2025-11-09,4,USA,SOC, ,8.5, ,1 1/16M,D,1,2,2,3,0,4,5,200,200,250,0,120,375,10,10,50,0,50,50,51,8,30000,19016165_LRL_2025-11-09_4
 ,23000245,First Officer,DEL,2025-10-18,1,USA,MSW, ,8.0, ,1M,D,3,2,2,2,0,5,5,10,10,10,0,260,660,100,100,10,0,500,375,507,6,45000,23000245_DEL_2025-10-18_1
X,23000245,First Officer,LRL,2025-11-09,1,USA,MSW, ,8.5, ,1 1/16M,T,11,10,10,8,0,6,6,960,580,480,0,810,705,50,300,50,0,10,10,886,11,51615,23000245_LRL_2025-11-09_1
X,23000245,First Officer,LRL,2025-11-29,3,USA,MSW, ,7.0, ,7F,D,4,9,9,0,0,8,8,970,2270,0,0,2510,2875,0,0,0,0,800,1900,1259,9,48500,23000245_LRL_2025-11-29_3
 ,22014344,First Pearl,TIM,2025-08-30,3,USA,CLM, ,6.5,A,6 1/2F,D,1,2,2,0,0,3,3,350,350,0,0,650,605,50,10,0,0,0,0,19,3,22000,22014344_TIM_2025-08-30_3
X,22014344,First Pearl,LRL,2025-10-03,4,USA,CLM, ,8.0, ,1M,D,3,3,2,1,0,1,1,60,10,0,0,0,0,150,50,400,0,600,700,24,7,25200,22014344_LRL_2025-10-03_4
 ,22014344,First Pearl,PEN,2025-11-20,6,USA,SOC, ,8.0, ,1M,D,5,5,6,6,0,6,5,450,510,560,0,810,1250,50,0,0,0,0,425,77,6,21000,22014344_PEN_2025-11-20_6
 ,21006267,Firstlady Rosalynn,TIM,2025-08-24,6,USA,AOC, ,6.5,A,6 1/2F,D,4,3,2,0,0,3,3,210,450,0,0,610,575,400,200,0,0,400,550,28,5,47470,21006267_TIM_2025-08-24_6
 ,21006267,Firstlady Rosalynn,PEN,2025-10-30,5,USA,CLM, ,6.0, ,6F,D,3,3,3,0,0,5,5,350,600,0,0,810,1625,550,200,0,0,0,0,59,5,28000,21006267_PEN_2025-10-30_5
X,21006267,Firstlady Rosalynn,AQU,2025-11-28,3,USA,CLM, ,6.5, ,6 1/2F,D,3,5,5,0,0,5,5,350,230,0,0,1350,9999,0,0,0,0,0,9999,34,5,38000,21006267_AQU_2025-11-28_3
X,22012128,Fitness,LRL,2025-10-05,5,USA,SOC, ,8.5, ,1 1/16M,D,3,4,4,5,0,5,5,550,560,1000,0,1550,2625,200,100,0,0,0,0,304,5,24000,22012128_LRL_2025-10-05_5
X,22012128,Fitness,LRL,2025-10-26,4,USA,CLM, ,6.0, ,6F,D,7,3,3,0,0,4,5,110,250,0,0,170,280,50,100,0,0,200,175,118,9,26530,22012128_LRL_2025-10-26_4
X,22012128,Fitness,LRL,2025-12-07,5,USA,CLM, ,8.0, ,1M,D,2,1,1,1,0,1,2,0,0,0,0,0,5,50,100,10,0,10,275,292,8,26030,22012128_LRL_2025-12-07_5
X,22012128,Fitness,LRL,2025-12-26,3,USA,CLM, ,8.5, ,1 1/16M,D,2,1,1,1,0,1,1,0,0,0,0,0,0,100,100,50,0,50,200,22,6,24700,22012128_LRL_2025-12-26_3
 ,22000246,Fiveclocksomewhere,DEL,2025-10-09,7,USA,AOC, ,8.0, ,1M,D,5,5,5,4,0,4,4,220,170,550,0,900,1250,0,0,200,0,300,925,207,5,46000,22000246_DEL_2025-10-09_7
 ,22000246,Fiveclocksomewhere,MVR,2025-10-20,7,USA,ALW, ,8.0, ,1M,D,1,3,3,4,0,4,4,250,300,450,0,1060,1550,100,150,500,0,250,350,17,7,25900,22000246_MVR_2025-10-20_7
X,22000246,Fiveclocksomewhere,LRL,2025-11-27,4,USA,SOC, ,7.0, ,7F,D,6,2,3,0,0,7,7,100,250,0,0,1020,1950,100,50,0,0,0,0,188,7,30950,22000246_LRL_2025-11-27_4
X,23006366,Flatter My Dad,LRL,2025-09-14,3,USA,MSW, ,5.5, ,5 1/2F,T,3,2,3,0,0,2,2,50,160,0,0,10,125,150,150,0,0,250,350,53,8,50115,23006366_LRL_2025-09-14_3
X,23006366,Flatter My Dad,LRL,2025-11-08,3,USA,MSW, ,5.5, ,5 1/2F,T,9,4,3,0,0,3,4,360,210,0,0,300,425,250,10,0,0,10,150,119,10,54640,23006366_LRL_2025-11-08_3
X,23006366,Flatter My Dad,LRL,2025-11-28,3,USA,MSW, ,6.0, ,6F,D,1,5,5,0,0,6,4,400,660,0,0,760,1125,50,10,0,0,1500,200,118,7,45500,23006366_LRL_2025-11-28_3
 ,23001790,Flying Perfection,DEL,2025-10-15,1,USA,MCL, ,6.0, ,6F,D,1,7,7,0,0,7,6,570,370,0,0,570,950,0,0,0,0,0,25,683,7,20000,23001790_DEL_2025-10-15_1
X,23001790,Flying Perfection,LRL,2025-11-02,7,USA,MCL, ,6.0, ,6F,D,2,8,8,0,0,7,5,1060,860,0,0,900,1350,0,0,0,0,100,300,962,8,33700,23001790_LRL_2025-11-02_7
X,23001790,Flying Perfection,LRL,2025-11-29,6,USA,MCL, ,5.5, ,5 1/2F,D,4,6,6,0,0,8,10,1000,1170,0,0,1170,1670,300,10,0,0,200,50,803,12,30260,23001790_LRL_2025-11-29_6
X,23008262,Flying to Work,LRL,2025-11-30,5,USA,MCL, ,5.5, ,5 1/2F,D,4,7,7,0,0,7,4,2310,2250,0,0,1450,1275,0,0,0,0,0,10,83,7,27400,23008262_LRL_2025-11-30_5
X,23008262,Flying to Work,LRL,2026-01-09,6,USA,MCL, ,6.0, ,6F,D,4,7,7,0,0,4,5,920,670,0,0,220,280,100,350,0,0,10,75,57,11,24890,23008262_LRL_2026-01-09_6
X,23013965,For the Ladies,BAQ,2025-10-05,4,USA,MSW, ,6.0, ,6F,D,1,1,1,0,0,1,2,0,0,0,0,0,5,50,50,0,0,150,175,18,9,85000,23013965_BAQ_2025-10-05_4
X,23013965,For the Ladies,AQU,2025-11-29,1,USA,MSW, ,6.0, ,6F,D,1,1,1,0,0,1,1,0,0,0,0,0,0,100,250,0,0,600,725,13,4,85000,23013965_AQU_2025-11-29_1
X,23013965,For the Ladies,AQU,2026-01-10,2,USA,AOC, ,6.0, ,6F,D,2,1,1,0,0,1,3,0,0,0,0,0,650,10,50,0,0,50,0,6,3,83000,23013965_AQU_2026-01-10_2
X,21010862,Formal Affair,LRL,2025-10-11,3,USA,SHP, ,7.0, ,7F,D,1,11,10,0,0,5,1,1450,1460,0,0,360,0,0,250,0,0,10,200,89,11,40800,21010862_LRL_2025-10-11_3
X,21010862,Formal Affair,LRL,2025-11-09,8,USA,SOC, ,6.0, ,6F,D,6,7,5,0,0,5,1,600,410,0,0,80,0,0,50,0,0,10,50,42,7,32980,21010862_LRL_2025-11-09_8
X,21010862,Formal Affair,LRL,2025-11-22,8,USA,STK, ,9.0, ,1 1/8M,D,3,6,6,5,0,5,4,1210,1360,1050,0,950,1450,0,0,200,0,2000,25,458,6,100000,21010862_LRL_2025-11-22_8
X,21010862,Formal Affair,LRL,2025-12-13,8,USA,ALW, ,8.0, ,1M,D,6,5,4,2,0,5,3,260,250,100,0,260,500,150,250,10,0,600,50,44,6,48000,21010862_LRL_2025-12-13_8
X,21010862,Formal Affair,LRL,2025-12-20,2,USA,ALW, ,7.0, ,7F,D,6,7,7,0,0,6,6,950,1010,0,0,810,630,0,0,0,0,600,2625,56,7,53910,21010862_LRL_2025-12-20_2
 ,23005166,Fowl Mouth,DEL,2025-09-14,6,USA,STK, ,6.0, ,6F,D,2,1,2,0,0,3,6,0,100,0,0,250,1210,50,10,0,0,100,225,27,8,100000,23005166_DEL_2025-09-14_6
 ,23005166,Fowl Mouth,DEL,2025-09-28,2,USA,AOC, ,6.0, ,6F,D,3,8,7,0,0,7,6,400,420,0,0,610,925,0,10,0,0,50,75,74,8,72000,23005166_DEL_2025-09-28_2
X,23005166,Fowl Mouth,LRL,2025-11-09,2,USA,CLM, ,6.0, ,6F,D,3,5,5,0,0,3,2,850,810,0,0,650,500,50,250,0,0,10,150,10,6,31350,23005166_LRL_2025-11-09_2
X,23005166,Fowl Mouth,LRL,2025-12-13,5,USA,CLM, ,8.0, ,1M,D,7,3,2,4,0,7,7,300,50,210,0,1450,2475,300,100,50,0,0,0,29,7,45300,23005166_LRL_2025-12-13_5
X,21009540,Free Costs to Much,LRL,2025-12-06,3,USA,MCL, ,6.0, ,6F,D,2,6,6,0,0,6,6,910,1310,0,0,1310,1805,0,0,0,0,0,0,714,6,46535,21009540_LRL_2025-12-06_3
X,21009540,Free Costs to Much,LRL,2025-12-26,7,USA,MSW, ,6.0, ,6F,D,8,1,3,0,0,7,7,0,310,0,0,1220,3475,100,10,0,0,1200,1000,1087,8,49410,21009540_LRL_2025-12-26_7
 ,22001570,Freedom Glider,MED,2025-09-26,1,USA,MCL, ,8.5, ,1 1/16M,T,2,1,1,2,0,2,5,0,0,10,0,50,405,10,100,100,0,150,675,12,7,21100,22001570_MED_2025-09-26_1
X,22001570,Freedom Glider,LRL,2025-11-02,6,USA,MCL, ,8.0, ,1M,T,10,5,7,4,0,5,4,400,420,310,0,260,110,100,200,10,0,10,250,16,12,27020,22001570_LRL_2025-11-02_6
X,22001570,Freedom Glider,LRL,2025-11-16,3,USA,MCL, ,8.0, ,1M,T,6,3,3,4,0,7,4,160,200,120,0,380,300,10,50,100,0,500,25,47,9,34200,22001570_LRL_2025-11-16_3
 ,20020171,Freeze the Fire,TIM,2025-08-29,4,USA,SOC, ,6.5,A,6 1/2F,D,5,1,1,0,0,2,1,0,0,0,0,10,0,10,50,0,0,350,10,68,6,29430,20020171_TIM_2025-08-29_4
X,20020171,Freeze the Fire,LRL,2025-10-31,6,USA,SOC, ,6.0, ,6F,D,3,5,4,0,0,2,1,660,300,0,0,50,0,300,150,0,0,150,75,40,8,27540,20020171_LRL_2025-10-31_6
X,20020171,Freeze the Fire,LRL,2025-11-29,9,USA,SOC, ,6.0, ,6F,D,2,2,2,0,0,2,1,100,250,0,0,10,0,100,400,0,0,300,100,17,8,30435,20020171_LRL_2025-11-29_9
X,20020171,Freeze the Fire,LRL,2025-12-20,4,USA,SOC, ,6.0, ,6F,D,3,3,2,0,0,2,1,650,350,0,0,50,0,10,100,0,0,250,225,10,8,32610,20020171_LRL_2025-12-20_4
X,19013832,Fromanothamutha,BAQ,2025-09-26,2,USA,CLM, ,6.0, ,6F,D,1,3,2,0,0,1,1,60,10,0,0,0,0,400,150,0,0,100,175,42,5,55000,19013832_BAQ_2025-09-26_2
X,19013832,Fromanothamutha,BAQ,2025-10-18,2,USA,STR, ,6.0, ,6F,D,7,3,3,0,0,4,4,150,250,0,0,260,355,50,50,0,0,350,200,638,7,90000,19013832_BAQ_2025-10-18_2
X,19013832,Fromanothamutha,LRL,2025-11-07,9,USA,ALW, ,6.0, ,6F,D,6,6,7,0,0,7,7,320,760,0,0,570,635,50,100,0,0,100,75,51,9,54910,19013832_LRL_2025-11-07_9
 ,21013533,Frosty the Giant,CT ,2025-10-16,8,USA,ALW, ,6.5, ,6 1/2F,D,1,1,1,0,0,1,1,0,0,0,0,0,0,150,150,0,0,50,275,5,8,31700,21013533_CT_2025-10-16_8
 ,21013533,Frosty the Giant,PEN,2025-11-12,6,USA,AOC, ,8.0, ,1M,D,8,1,1,1,0,4,4,0,0,0,0,260,535,100,100,50,0,300,425,151,8,36000,21013533_PEN_2025-11-12_6
 ,21013533,Frosty the Giant,CT ,2025-12-11,8,USA,AOC, ,6.5, ,6 1/2F,D,4,3,2,0,0,7,9,150,100,0,0,560,1775,500,50,0,0,10,0,323,9,34000,21013533_CT_2025-12-11_8
 ,20005579,Full Moon Madness,PRX,2025-09-20,15,USA,STK, ,6.5, ,6 1/2F,D,1,7,6,0,0,4,2,280,370,0,0,160,150,50,100,0,0,50,25,47,9,150000,20005579_PRX_2025-09-20_15
X,20005579,Full Moon Madness,BAQ,2025-11-02,9,USA,STK,3,6.0, ,6F,D,5,5,4,0,0,4,3,310,150,0,0,160,300,200,100,0,0,350,100,26,8,175000,20005579_BAQ_2025-11-02_9
X,20005579,Full Moon Madness,AQU,2025-12-06,5,USA,STK,3,6.0, ,6F,D,2,5,4,0,0,4,5,170,210,0,0,450,725,0,10,0,0,100,0,36,5,250000,20005579_AQU_2025-12-06_5
X,22006112,Furious George,LRL,2025-10-19,4,USA,MCL, ,6.0, ,6F,D,7,8,8,0,0,7,7,1310,1310,0,0,670,1155,0,0,0,0,600,2775,25,8,25370,22006112_LRL_2025-10-19_4
X,22006112,Furious George,LRL,2025-11-09,10,USA,MCL, ,6.0, ,6F,D,6,4,4,0,0,4,4,510,1000,0,0,1300,1450,150,400,0,0,350,50,75,8,25370,22006112_LRL_2025-11-09_10
